Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.985,0.9781021897810219,0.9781021897810219,0.9781021897810219,0.9974188892897782
MLP,0.9725,0.9436619718309859,0.9781021897810219,0.9605734767025089,0.9820987483000749
XGBoost,0.9025,0.9016393442622951,0.8029197080291971,0.8494208494208494,0.9668896228247897
KNN,0.8175,0.7388059701492538,0.7226277372262774,0.7306273062730627,0.9141572534761734
SVM,0.85,0.8181818181818182,0.7226277372262774,0.7674418604651163,0.9141294995975687
Logistic Regression,0.7975,0.7545454545454545,0.6058394160583942,0.6720647773279352,0.8549582304127001
